"full_name","constituency","party","profile_url","dail_term","dail_period","number_of_seats","term_number"
"Leo Baptist Skinner","Cork North","Fianna Fáil","/en/members/member/Leo-Baptist-Skinner.D.1943-07-01/","11th Dáil","(1943 - 1944)","138",11
"Patrick Smith","Cavan","Fianna Fáil","/en/members/member/Patrick-Smith.D.1923-09-19/","11th Dáil","(1943 - 1944)","138",11
"Daniel Spring","Kerry North","Labour Party","/en/members/member/Daniel-Spring.D.1943-07-01/","11th Dáil","(1943 - 1944)","138",11
"Richard Stapleton","Tipperary","Labour Party","/en/members/member/Richard-Stapleton.D.1943-07-01/","11th Dáil","(1943 - 1944)","138",11
"Oscar Traynor","Dublin North-East","Fianna Fáil","/en/members/member/Oscar-Traynor.D.1925-03-11/","11th Dáil","(1943 - 1944)","138",11
"James Tunney","Dublin County","Labour Party","/en/members/member/James-Tunney.S.1938-04-27/","11th Dáil","(1943 - 1944)","138",11
"Dr. F.C. Ward","Monaghan","Fianna Fáil","/en/members/member/Dr-FC-Ward.D.1927-10-11/","11th Dáil","(1943 - 1944)","138",11
"Eamon de Valera","Clare","Fianna Fáil","/en/members/member/Eamon-de-Valera.D.1919-01-21/","11th Dáil","(1943 - 1944)","138",11
"Donnchadh Ó Briain","Limerick","Fianna Fáil","/en/members/member/Donnchadh-Ó-Briain.D.1933-02-08/","11th Dáil","(1943 - 1944)","138",11
"Frank Aiken","Louth","Fianna Fáil","/en/members/member/Frank-Aiken.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"Denis Allen","Wexford","Fianna Fáil","/en/members/member/Denis-Allen.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Richard Sidney Anthony","Cork Borough","Independent","/en/members/member/Richard-Sidney-Anthony.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Gerald Bartley","Galway West","Fianna Fáil","/en/members/member/Gerald-Bartley.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Patrick Beegan","Galway East","Fianna Fáil","/en/members/member/Patrick-Beegan.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"John Beirne Snr.","Roscommon","Clann na Talmhan","/en/members/member/John-Beirne-Snr.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"George Cecil Bennett","Limerick","Fine Gael","/en/members/member/George-Cecil-Bennett.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Neil Blaney","Donegal East","Fianna Fáil","/en/members/member/Neil-Blaney.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Joseph Blowick","Mayo South","Clann na Talmhan","/en/members/member/Joseph-Blowick.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Gerald Boland","Roscommon","Fianna Fáil","/en/members/member/Gerald-Boland.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"Patrick J. Boland","Leix-Offaly","Fianna Fáil","/en/members/member/Patrick-J-Boland.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Daniel Bourke","Limerick","Fianna Fáil","/en/members/member/Daniel-Bourke.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Bryan Myles Brady","Donegal West","Fianna Fáil","/en/members/member/Bryan-Myles-Brady.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Seán Brady","Dublin County","Fianna Fáil","/en/members/member/Seán-Brady.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Cormac Breathnach","Dublin North-West","Fianna Fáil","/en/members/member/Cormac-Breathnach.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Daniel Breen","Tipperary","Fianna Fáil","/en/members/member/Daniel-Breen.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"Dr. Martin Brennan","Sligo","Fianna Fáil","/en/members/member/Dr-Martin-Brennan.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Thomas Brennan","Wicklow","Fianna Fáil","/en/members/member/Thomas-Brennan.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Cormac Breslin","Donegal West","Fianna Fáil","/en/members/member/Cormac-Breslin.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Robert Briscoe","Dublin South","Fianna Fáil","/en/members/member/Robert-Briscoe.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"William Joseph Broderick","Cork South East","Fine Gael","/en/members/member/William-Joseph-Broderick.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Patrick Browne","Mayo North","Fine Gael","/en/members/member/Patrick-Browne.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Seán Buckley","Cork West","Fianna Fáil","/en/members/member/Seán-Buckley.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"Patrick Burke","Clare","Fine Gael","/en/members/member/Patrick-Burke.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Patrick J. Burke","Dublin County","Fianna Fáil","/en/members/member/Patrick-J-Burke.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Thomas T. Burke","Clare","Independent","/en/members/member/Thomas-T-Burke.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Bernard Butler","Dublin Townships","Fianna Fáil","/en/members/member/Bernard-Butler.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Alfred Byrne","Dublin North-East","Independent","/en/members/member/Alfred-Byrne.D.1922-09-09/","12th Dáil","(1944 - 1948)","138",12
"Dominick Cafferky","Mayo South","Clann na Talmhan","/en/members/member/Dominick-Cafferky.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Thomas Carter","Athlone-Longford","Fianna Fáil","/en/members/member/Thomas-Carter.D.1921-08-16/","12th Dáil","(1944 - 1948)","138",12
"Erskine Hamilton Childers","Athlone-Longford","Fianna Fáil","/en/members/member/Erskine-Hamilton-Childers.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Michael Cleary","Mayo South","Fianna Fáil","/en/members/member/Michael-Cleary.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"James Coburn","Louth","Fine Gael","/en/members/member/James-Coburn.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Patrick Cogan","Wicklow","Clann na Talmhan","/en/members/member/Patrick-Cogan.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Michael Colbert","Limerick","Fianna Fáil","/en/members/member/Michael-Colbert.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Harry Colley","Dublin North-East","Fianna Fáil","/en/members/member/Harry-Colley.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Bernard Commons","Mayo South","Clann na Talmhan","/en/members/member/Bernard-Commons.D.1945-12-04/","12th Dáil","(1944 - 1948)","138",12
"Eamonn Coogan","Kilkenny","Fine Gael","/en/members/member/Eamonn-Coogan.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Brendan Corish","Wexford","Labour Party","/en/members/member/Brendan-Corish.D.1945-12-04/","12th Dáil","(1944 - 1948)","138",12
"Richard Corish","Wexford","Labour Party","/en/members/member/Richard-Corish.D.1921-08-16/","12th Dáil","(1944 - 1948)","138",12
"Martin John Corry","Cork South East","Fianna Fáil","/en/members/member/Martin-John-Corry.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Liam Cosgrave","Dublin County","Fine Gael","/en/members/member/Liam-Cosgrave.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"John Aloysius Costello","Dublin Townships","Fine Gael","/en/members/member/John-Aloysius-Costello.D.1933-02-08/","12th Dáil","(1944 - 1948)","138",12
"Frederick Hugh Crowley","Kerry South","Fianna Fáil","/en/members/member/Frederick-Hugh-Crowley.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Honor Mary Crowley","Kerry South","Fianna Fáil","/en/members/member/Honor-Mary-Crowley.D.1945-12-04/","12th Dáil","(1944 - 1948)","138",12
"Francis Joseph Daly","Cork Borough","Fianna Fáil","/en/members/member/Francis-Joseph-Daly.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"William Davin","Leix-Offaly","Labour Party","/en/members/member/William-Davin.D.1922-09-09/","12th Dáil","(1944 - 1948)","138",12
"Thomas Derrig","Kilkenny","Fianna Fáil","/en/members/member/Thomas-Derrig.D.1921-08-16/","12th Dáil","(1944 - 1948)","138",12
"James Matthew Dillon","Monaghan","Independent","/en/members/member/James-Matthew-Dillon.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Henry Morgan Dockrell","Dublin County","Fine Gael","/en/members/member/Henry-Morgan-Dockrell.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Maurice E. Dockrell","Dublin South","Fine Gael","/en/members/member/Maurice-E-Dockrell.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Michael Donnellan","Galway East","Clann na Talmhan","/en/members/member/Michael-Donnellan.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Peadar Seán Doyle","Dublin South","Fine Gael","/en/members/member/Peadar-Seán-Doyle.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"William Dwyer","Cork Borough","Independent","/en/members/member/William-Dwyer.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"James Everett","Wicklow","National Labour Party","/en/members/member/James-Everett.D.1922-09-09/","12th Dáil","(1944 - 1948)","138",12
"Charles Fagan","Meath-Westmeath","Fine Gael","/en/members/member/Charles-Fagan.D.1933-02-08/","12th Dáil","(1944 - 1948)","138",12
"Frank Fahy","Galway East","Fianna Fáil","/en/members/member/Frank-Fahy.D.1919-01-21/","12th Dáil","(1944 - 1948)","138",12
"Patrick Finucane","Kerry North","Clann na Talmhan","/en/members/member/Patrick-Finucane.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Oliver J. Flanagan","Leix-Offaly","Independent","/en/members/member/Oliver-J-Flanagan.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Stephen Flynn","Leitrim","Fianna Fáil","/en/members/member/Stephen-Flynn.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Andrew Fogarty","Tipperary","Fianna Fáil","/en/members/member/Andrew-Fogarty.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Patrick J. Fogerty","Dublin County","Fianna Fáil","/en/members/member/Patrick-J-Fogerty.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"John Friel","Donegal East","Fianna Fáil","/en/members/member/John-Friel.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Walter Furlong","Cork Borough","Fianna Fáil","/en/members/member/Walter-Furlong.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Captain Patrick Giles","Meath-Westmeath","Fine Gael","/en/members/member/Captain-Patrick-Giles.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Patrick Joseph Gorry","Leix-Offaly","Fianna Fáil","/en/members/member/Patrick-Joseph-Gorry.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Patrick Joseph Halliden","Cork North","Clann na Talmhan","/en/members/member/Patrick-Joseph-Halliden.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Thomas Harris","Carlow-Kilkenny","Fianna Fáil","/en/members/member/Thomas-Harris.D.1931-06-29/","12th Dáil","(1944 - 1948)","138",12
"John B. Healy","Kerry South","Fianna Fáil","/en/members/member/John-B-Healy.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Denis Heskin","Waterford","Clann na Talmhan","/en/members/member/Denis-Heskin.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Michael Hilliard","Meath-Westmeath","Fianna Fáil","/en/members/member/Michael-Hilliard.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"James Hughes","Carlow-Kilkenny","Fine Gael","/en/members/member/James-Hughes.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Dr. Francis Humphreys","Carlow-Kilkenny","Fianna Fáil","/en/members/member/Dr-Francis-Humphreys.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"John Keating","Wexford","Fine Gael","/en/members/member/John-Keating.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Michael J. Kennedy","Meath-Westmeath","Fianna Fáil","/en/members/member/Michael-J-Kennedy.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Michael J. Keyes","Limerick","Labour Party","/en/members/member/Michael-J-Keyes.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Mark Killilea Snr.","Galway East","Fianna Fáil","/en/members/member/Mark-Killilea-Snr.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"James Kilroy","Mayo North","Fianna Fáil","/en/members/member/James-Kilroy.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Patrick Kinane","Tipperary","Clann na Poblachta","/en/members/member/Patrick-Kinane.D.1947-10-29/","12th Dáil","(1944 - 1948)","138",12
"Eamon Kissane","Kerry North","Fianna Fáil","/en/members/member/Eamon-Kissane.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"James Larkin Jnr.","Dublin South","Labour Party","/en/members/member/James-Larkin-Jnr.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Seán F. Lemass","Dublin South","Fianna Fáil","/en/members/member/Seán-F-Lemass.D.1924-11-18/","12th Dáil","(1944 - 1948)","138",12
"Patrick J. Little","Waterford","Fianna Fáil","/en/members/member/Patrick-J-Little.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Francis Loughman","Tipperary","Fianna Fáil","/en/members/member/Francis-Loughman.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Michael F. Lydon","Galway West","Fianna Fáil","/en/members/member/Michael-F-Lydon.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Fionán Lynch","Kerry South","Fine Gael","/en/members/member/Fionán-Lynch.D.1919-01-21/","12th Dáil","(1944 - 1948)","138",12
"James B. Lynch","Dublin South","Fianna Fáil","/en/members/member/James-B-Lynch.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Seán MacBride","Dublin County","Clann na Poblachta","/en/members/member/Seán-MacBride.D.1947-10-29/","12th Dáil","(1944 - 1948)","138",12
"Seán MacCarthy","Cork South East","Fianna Fáil","/en/members/member/Seán-MacCarthy.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Seán MacEntee","Dublin Townships","Fianna Fáil","/en/members/member/Seán-MacEntee.D.1919-01-21/","12th Dáil","(1944 - 1948)","138",12
"General Seán MacEoin","Athlone-Longford","Fine Gael","/en/members/member/General-Seán-MacEoin.D.1921-08-16/","12th Dáil","(1944 - 1948)","138",12
"B. J. Maguire","Leitrim","Independent","/en/members/member/B-J-Maguire.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Patrick McAuliffe","Cork North","Labour Party","/en/members/member/Patrick-McAuliffe.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"John McCann","Dublin South","Fianna Fáil","/en/members/member/John-McCann.D.1939-06-06/","12th Dáil","(1944 - 1948)","138",12
"Thomas McEllistrim Snr.","Kerry North","Fianna Fáil","/en/members/member/Thomas-McEllistrim-Snr.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"Michael Óg McFadden","Donegal West","Fine Gael","/en/members/member/Michael-Óg-McFadden.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Patrick McGilligan","Dublin North-West","Fine Gael","/en/members/member/Patrick-McGilligan.D.1923-11-03/","12th Dáil","(1944 - 1948)","138",12
"Patrick McGrath","Cork Borough","Fianna Fáil","/en/members/member/Patrick-McGrath.D.1946-06-14/","12th Dáil","(1944 - 1948)","138",12
"Daniel McMenamin","Donegal East","Fine Gael","/en/members/member/Daniel-McMenamin.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Joseph William Mongan","Galway West","Fine Gael","/en/members/member/Joseph-William-Mongan.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Michael Moran","Mayo South","Fianna Fáil","/en/members/member/Michael-Moran.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Daniel Morrissey","Tipperary","Fine Gael","/en/members/member/Daniel-Morrissey.D.1922-09-09/","12th Dáil","(1944 - 1948)","138",12
"Michael Morrissey","Waterford","Fianna Fáil","/en/members/member/Michael-Morrissey.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Seán Moylan","Cork North","Fianna Fáil","/en/members/member/Seán-Moylan.D.1921-08-16/","12th Dáil","(1944 - 1948)","138",12
"Richard James Mulcahy","Tipperary","Fine Gael","/en/members/member/Richard-James-Mulcahy.D.1919-01-21/","12th Dáil","(1944 - 1948)","138",12
"Timothy J Murphy","Cork West","Labour Party","/en/members/member/Timothy-J-Murphy.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"William Norton","Carlow-Kilkenny","Labour Party","/en/members/member/William-Norton.D.1926-02-18/","12th Dáil","(1944 - 1948)","138",12
"John S. O'Connor","Dublin North-West","Fianna Fáil","/en/members/member/John-S-O'Connor.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"William Francis O'Donnell","Tipperary","Clann na Talmhan","/en/members/member/William-Francis-O'Donnell.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Donal J. O'Donoghue","Kerry South","Independent","/en/members/member/Donal-J-O'Donoghue.D.1944-11-10/","12th Dáil","(1944 - 1948)","138",12
"Patrick Florence O'Driscoll","Cork West","Clann na Talmhan","/en/members/member/Patrick-Florence-O'Driscoll.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Seán O'Grady","Clare","Fianna Fáil","/en/members/member/Seán-O'Grady.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Dr Thomas Francis O'Higgins Snr.","Leix-Offaly","Fine Gael","/en/members/member/Dr-Thomas-Francis-O'Higgins-Snr.D.1929-03-14/","12th Dáil","(1944 - 1948)","138",12
"Seán T. O'Kelly","Dublin North-West","Fianna Fáil","/en/members/member/Seán-T-O'Kelly.D.1919-01-21/","12th Dáil","(1944 - 1948)","138",12
"John O'Leary","Wexford","National Labour Party","/en/members/member/John-O'Leary.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Peter Joseph O'Loghlen","Clare","Fianna Fáil","/en/members/member/Peter-Joseph-O'Loghlen.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Eamonn O'Neill","Cork West","Fine Gael","/en/members/member/Eamonn-O'Neill.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Matthew O'Reilly","Meath-Westmeath","Fianna Fáil","/en/members/member/Matthew-O'Reilly.D.1927-06-23/","12th Dáil","(1944 - 1948)","138",12
"Patrick O'Reilly","Cavan","Clann na Talmhan","/en/members/member/Patrick-O'Reilly.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Thomas P. O'Reilly","Cavan","Independent","/en/members/member/Thomas-P-O'Reilly.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Daniel O'Rourke","Roscommon","Fianna Fáil","/en/members/member/Daniel-O'Rourke.D.1921-08-16/","12th Dáil","(1944 - 1948)","138",12
"Martin O'Sullivan","Dublin North-West","Labour Party","/en/members/member/Martin-O'Sullivan.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Timothy O'Sullivan","Cork West","Fianna Fáil","/en/members/member/Timothy-O'Sullivan.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"John Ormonde","Waterford","Fianna Fáil","/en/members/member/John-Ormonde.D.1947-10-29/","12th Dáil","(1944 - 1948)","138",12
"James P. Pattison","Kilkenny","National Labour Party","/en/members/member/James-P-Pattison.D.1933-02-08/","12th Dáil","(1944 - 1948)","138",12
"Bridget Mary Redmond","Waterford","Fine Gael","/en/members/member/Bridget-Mary-Redmond.D.1933-02-08/","12th Dáil","(1944 - 1948)","138",12
"James Reidy","Limerick","Fine Gael","/en/members/member/James-Reidy.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Mary Reynolds","Leitrim","Fine Gael","/en/members/member/Mary-Reynolds.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Briget Mary Rice","Monaghan","Fianna Fáil","/en/members/member/Briget-Mary-Rice.D.1938-06-30/","12th Dáil","(1944 - 1948)","138",12
"Martin Roddy","Sligo","Fine Gael","/en/members/member/Martin-Roddy.D.1925-03-11/","12th Dáil","(1944 - 1948)","138",12
"Patrick J. Rogers","Sligo","Fine Gael","/en/members/member/Patrick-J-Rogers.D.1933-02-08/","12th Dáil","(1944 - 1948)","138",12
"Patrick Joseph Ruttledge","Mayo North","Fianna Fáil","/en/members/member/Patrick-Joseph-Ruttledge.D.1921-08-16/","12th Dáil","(1944 - 1948)","138",12
"James Ryan","Wexford","Fianna Fáil","/en/members/member/James-Ryan.D.1919-01-21/","12th Dáil","(1944 - 1948)","138",12
"Mary Bridget Ryan","Tipperary","Fianna Fáil","/en/members/member/Mary-Bridget-Ryan.D.1944-06-09/","12th Dáil","(1944 - 1948)","138",12
"Robert Ryan","Limerick","Fianna Fáil","/en/members/member/Robert-Ryan.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Patrick Shanahan","Clare","Independent","/en/members/member/Patrick-Shanahan.D.1945-12-04/","12th Dáil","(1944 - 1948)","138",12
"William Alexander Sheldon","Donegal East","Independent","/en/members/member/William-Alexander-Sheldon.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Michael Sheridan","Cavan","Fianna Fáil","/en/members/member/Michael-Sheridan.D.1932-03-09/","12th Dáil","(1944 - 1948)","138",12
"Leo Baptist Skinner","Cork North","Fianna Fáil","/en/members/member/Leo-Baptist-Skinner.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Patrick Smith","Cavan","Fianna Fáil","/en/members/member/Patrick-Smith.D.1923-09-19/","12th Dáil","(1944 - 1948)","138",12
"Daniel Spring","Kerry North","National Labour Party","/en/members/member/Daniel-Spring.D.1943-07-01/","12th Dáil","(1944 - 1948)","138",12
"Oscar Traynor","Dublin North-East","Fianna Fáil","/en/members/member/Oscar-Traynor.D.1925-03-11/","12th Dáil","(1944 - 1948)","138",12
"Laurence Joseph Walsh","Louth","Fianna Fáil","/en/members/member/Laurence-Joseph-Walsh.D.1937-07-21/","12th Dáil","(1944 - 1948)","138",12
"Richard Walsh","Mayo South","Fianna Fáil","/en/members/member/Richard-Walsh.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Dr. F.C. Ward","Monaghan","Fianna Fáil","/en/members/member/Dr-FC-Ward.D.1927-10-11/","12th Dáil","(1944 - 1948)","138",12
"Eamon de Valera","Clare","Fianna Fáil","/en/members/member/Eamon-de-Valera.D.1919-01-21/","12th Dáil","(1944 - 1948)","138",12
"Vivion de Valera","Dublin North-West","Fianna Fáil","/en/members/member/Vivion-de-Valera.D.1945-12-04/","12th Dáil","(1944 - 1948)","138",12
"Donnchadh Ó Briain","Limerick","Fianna Fáil","/en/members/member/Donnchadh-Ó-Briain.D.1933-02-08/","12th Dáil","(1944 - 1948)","138",12
"Frank Aiken","Louth","Fianna Fáil","/en/members/member/Frank-Aiken.D.1923-09-19/","13th Dáil","(1948 - 1951)","147",13
"Denis Allen","Wexford","Fianna Fáil","/en/members/member/Denis-Allen.D.1927-10-11/","13th Dáil","(1948 - 1951)","147",13
"Gerald Bartley","Galway West","Fianna Fáil","/en/members/member/Gerald-Bartley.D.1932-03-09/","13th Dáil","(1948 - 1951)","147",13
"Patrick Beegan","Galway South","Fianna Fáil","/en/members/member/Patrick-Beegan.D.1932-03-09/","13th Dáil","(1948 - 1951)","147",13
"John Beirne Jnr.","Roscommon","Clann na Talmhan","/en/members/member/John-Beirne-Jnr.D.1948-02-18/","13th Dáil","(1948 - 1951)","147",13
"John Belton","Dublin North-East","Fine Gael","/en/members/member/John-Belton.D.1948-02-18/","13th Dáil","(1948 - 1951)","147",13
"Neil Blaney","Donegal East","Fianna Fáil","/en/members/member/Neil-Blaney.D.1927-06-23/","13th Dáil","(1948 - 1951)","147",13
"Neil T.C. Blaney","Donegal East","Independent","/en/members/member/Neil-TC-Blaney.D.1948-12-07/","13th Dáil","(1948 - 1951)","147",13
"Joseph Blowick","Mayo South","Clann na Talmhan","/en/members/member/Joseph-Blowick.D.1943-07-01/","13th Dáil","(1948 - 1951)","147",13
"Gerald Boland","Roscommon","Fianna Fáil","/en/members/member/Gerald-Boland.D.1923-09-19/","13th Dáil","(1948 - 1951)","147",13
"Patrick J. Boland","Leix-Offaly","Fianna Fáil","/en/members/member/Patrick-J-Boland.D.1927-06-23/","13th Dáil","(1948 - 1951)","147",13
"Daniel Bourke","Limerick East","Fianna Fáil","/en/members/member/Daniel-Bourke.D.1927-10-11/","13th Dáil","(1948 - 1951)","147",13
"Bryan Myles Brady","Donegal West","Fianna Fáil","/en/members/member/Bryan-Myles-Brady.D.1932-03-09/","13th Dáil","(1948 - 1951)","147",13
"Seán Brady","Dún Laoghaire and Rathdown","Fianna Fáil","/en/members/member/Seán-Brady.D.1927-10-11/","13th Dáil","(1948 - 1951)","147",13
"Cormac Breathnach","Dublin North-West","Fianna Fáil","/en/members/member/Cormac-Breathnach.D.1932-03-09/","13th Dáil","(1948 - 1951)","147",13
"Daniel Breen","Tipperary South","Fianna Fáil","/en/members/member/Daniel-Breen.D.1923-09-19/","13th Dáil","(1948 - 1951)","147",13
"Joseph Patrick Brennan","Dún Laoghaire and Rathdown","Clann na Poblachta","/en/members/member/Joseph-Patrick-Brennan.D.1948-02-18/","13th Dáil","(1948 - 1951)","147",13
"Thomas Brennan","Wicklow","Fianna Fáil","/en/members/member/Thomas-Brennan.D.1944-06-09/","13th Dáil","(1948 - 1951)","147",13
"Cormac Breslin","Donegal West","Fianna Fáil","/en/members/member/Cormac-Breslin.D.1937-07-21/","13th Dáil","(1948 - 1951)","147",13
"Robert Briscoe","Dublin South-West","Fianna Fáil","/en/members/member/Robert-Briscoe.D.1927-10-11/","13th Dáil","(1948 - 1951)","147",13
"Noel C. Browne","Dublin South-East","Clann na Poblachta","/en/members/member/Noel-C-Browne.D.1948-02-18/","13th Dáil","(1948 - 1951)","147",13
"Patrick Browne","Mayo North","Fine Gael","/en/members/member/Patrick-Browne.D.1937-07-21/","13th Dáil","(1948 - 1951)","147",13
"Seán Buckley","Cork South","Fianna Fáil","/en/members/member/Seán-Buckley.D.1923-09-19/","13th Dáil","(1948 - 1951)","147",13
"Patrick J. Burke","Dublin County","Fianna Fáil","/en/members/member/Patrick-J-Burke.D.1944-06-09/","13th Dáil","(1948 - 1951)","147",13
"Thomas T. Burke","Clare","Independent","/en/members/member/Thomas-T-Burke.D.1937-07-21/","13th Dáil","(1948 - 1951)","147",13
"Bernard Butler","Dublin South-West","Fianna Fáil","/en/members/member/Bernard-Butler.D.1943-07-01/","13th Dáil","(1948 - 1951)","147",13
"Alfred Byrne","Dublin North-East","Independent","/en/members/member/Alfred-Byrne.D.1922-09-09/","13th Dáil","(1948 - 1951)","147",13
"Alfred P. Byrne","Dublin North-West","Independent","/en/members/member/Alfred-P-Byrne.D.1937-07-21/","13th Dáil","(1948 - 1951)","147",13
"Thomas Carter","Longford-Westmeath","Fianna Fáil","/en/members/member/Thomas-Carter.D.1921-08-16/","13th Dáil","(1948 - 1951)","147",13
"Erskine Hamilton Childers","Longford-Westmeath","Fianna Fáil","/en/members/member/Erskine-Hamilton-Childers.D.1938-06-30/","13th Dáil","(1948 - 1951)","147",13
"James Coburn","Louth","Fine Gael","/en/members/member/James-Coburn.D.1927-06-23/","13th Dáil","(1948 - 1951)","147",13
"Patrick Cogan","Wicklow","Independent","/en/members/member/Patrick-Cogan.D.1938-06-30/","13th Dáil","(1948 - 1951)","147",13
